,t (time step),MMD,Confidence of Classifier,FID
0,0.0,3.755403,2.2091596e-11,95.30921068218971
1,0.05263157894736842,0.09658335,0.99711823,3.209637281467173
2,0.10526315789473684,0.19846445,0.9999994,4.848251648501606
3,0.15789473684210525,0.27558926,0.9999895,5.790683161812252
4,0.21052631578947367,0.37920594,0.99999976,7.518661448286549
5,0.2631578947368421,0.43599334,0.99999845,8.270951851182408
6,0.3157894736842105,0.47786257,0.9999417,8.773514807581005
7,0.3684210526315789,0.5169469,0.9999633,9.261248287361601
8,0.42105263157894735,0.56272346,0.99994457,9.906479949547858
9,0.47368421052631576,0.6029841,0.9996942,10.526102620637545
10,0.5263157894736842,0.6523866,0.9999696,11.152191322703603
11,0.5789473684210527,0.64247406,0.99992883,10.623586571944667
12,0.631578947368421,0.6313401,0.99974936,10.5982576956008
13,0.6842105263157894,0.6235863,0.9998987,10.346185097425634
14,0.7368421052631579,0.65368706,0.99982566,10.9526819131812
15,0.7894736842105263,0.64898527,0.99980956,10.774991218098661
16,0.8421052631578947,0.6408243,0.9999411,10.696867165064749
17,0.894736842105263,0.64486396,0.99994814,10.97376138249392
18,0.9473684210526315,0.68094367,0.99992466,11.335584476237717
19,1.0,0.68199784,0.9999722,11.079027761499011
