,Fraction of transport,MDD,Confidence of Classifier,FID
0,0.25,1.6392528,6.900017e-12,55.230903303807544
1,0.5,1.5581676,1.8333837e-07,42.88141443996645
2,0.75,1.1589978,2.8170001e-05,21.873033997024937
3,1.0,0.03692156,0.9999994,2.5425207163417642
