epoch,train_loss,val_loss
1,1.1634639686346053,0.44537863713946746
2,0.3630085483789444,0.2762141197206492
3,0.2643403449356556,0.2200798676051992
4,0.21593236371378105,0.18890912404799082
5,0.18155365724861622,0.1642261514083502
6,0.1556098676522573,0.14592097410337723
7,0.13586134541283051,0.129965737739459
8,0.11979813792308172,0.12034020167676375
9,0.10621116202324629,0.11018449441589256
10,0.09464790157104531,0.10241015519986445
11,0.08528297427420815,0.09712451310491467
12,0.07713161935905616,0.09128818070971743
13,0.06977372398475806,0.08613173117950321
14,0.06336981060169637,0.08345444424900207
15,0.057409831333284575,0.08117610442531394
16,0.05254682502523065,0.07875844171429251
17,0.04787799393323561,0.07696461460572925
18,0.04399147449433804,0.07314565753504793
19,0.03967379278875888,0.07095553405691889
20,0.03635347491875291,0.07165079816006759
21,0.033212861673596,0.06977485477220902
22,0.030179978576488794,0.06783016155067673
23,0.027675265613943338,0.06687372404663387
24,0.024554301345876106,0.06754229863501213
25,0.022561932489275932,0.0657141031647854
26,0.020419598944950847,0.06538183517763986
27,0.018267386211548,0.0693929055916205
28,0.016484599955069523,0.06653697202427987
29,0.014511750958239039,0.06586814850464741
30,0.012895906516040365,0.06338540334787042
31,0.011494673346324513,0.06428398003806657
32,0.010397969806411615,0.06482327962789605
33,0.008729674831187974,0.06287051538659379
34,0.00795267793800061,0.06498838590515005
35,0.007075506009006252,0.06529258049812732
36,0.00631629160795516,0.0633555724269443
37,0.004821673650954229,0.0651970032990032
38,0.004821413115268418,0.06576612684898948
39,0.0037916981315162654,0.06851790542528528
40,0.0032461642970641456,0.06785994403261167
41,0.003072622410564994,0.06728492522110018
42,0.002409132207976654,0.07110462973263991
43,0.002165940172271803,0.07279538939265161
44,0.0025986458290717562,0.07256080848867683
45,0.0015993065033107995,0.07438923339515818
46,0.0012144308689942894,0.07016462044323797
47,0.0011389500916169104,0.07500641060803591
48,0.002400858848869878,0.07247679418798454
49,0.000748781315671901,0.07240790272369346
50,0.0006395727002163767,0.07346729269233657
