epoch,train_loss,val_loss
1,0.06496025364100932,0.05115992227133284
2,0.04734431354701519,0.04429995201211026
3,0.042709638764460885,0.041122742314287954
4,0.04043324561913808,0.03931779806759763
5,0.03917715734243393,0.03864820505631097
6,0.038528863936662675,0.03822673349938494
7,0.037986961081624034,0.03747647892723375
8,0.03743730140725771,0.037470682722298386
9,0.0370926703363657,0.03687715768179995
10,0.036864872723817825,0.03665146482315786
11,0.03652149747063716,0.03622384711188522
12,0.03648204229772091,0.03611301501935467
13,0.03618118789047003,0.03641898830995915
14,0.03575289745380481,0.03547584319962783
15,0.03573765897502502,0.035442786875795176
16,0.03556603872776031,0.035367073134538976
17,0.03569101095199585,0.03518555829539261
18,0.03518525705238183,0.03532798577377454
19,0.034969111817578474,0.03524250052671166
20,0.03476060645282269,0.034530875382033435
21,0.03471987479925156,0.03462244111529373
22,0.03470531200369199,0.03458723982677181
23,0.034640990289549034,0.03473958695069589
24,0.034501159220933914,0.03469676361914645
25,0.03500765884667635,0.03561898918346839
26,0.0346915968110164,0.03420410913593592
27,0.034324528058369955,0.03439606102976076
28,0.03478260823587576,0.03572979462432101
29,0.03498815425485373,0.035563332147579244
30,0.03437496661394834,0.03395423344633681
31,0.033721991377572216,0.03427115326469883
32,0.034259587024648985,0.03467979930103459
33,0.034673791204889615,0.03398500940703014
34,0.03464277541140715,0.035210533761122126
35,0.035861413583159446,0.03481800254791024
36,0.03470506517340739,0.034467327180615764
37,0.0341554050669074,0.03436936749185019
38,0.033900701095660526,0.03364589674636088
39,0.03361327255020539,0.03358796937391162
40,0.03357591737806797,0.033790698800077464
41,0.03344053944200277,0.03363999018960811
42,0.03393139207114776,0.03418652068308376
43,0.0337592423632741,0.03367748349270922
44,0.03415281510601441,0.03474217506640769
45,0.03434973043948412,0.034983429304779844
46,0.03460804794480403,0.03404119049020587
47,0.03357504023363193,0.033650650276227836
48,0.0331841660986344,0.033255361208811084
49,0.033161795164148015,0.03348942131715569
50,0.03343178037554026,0.03355555883311528
51,0.03406481515119473,0.03445983137142785
52,0.03440728476643563,0.034289559250340815
53,0.034151966442664466,0.0340184145012593
54,0.03361299325029055,0.033385532442480326
55,0.03342996757229169,0.03337178025592832
56,0.03294428536544244,0.033158911877569364
57,0.033733206753929455,0.03395541950545095
58,0.033650577959915,0.03346834629972247
59,0.03374030254781246,0.03373671446907076
60,0.03350166874875625,0.03356015603949732
61,0.03341507636755705,0.03335183875714528
62,0.03369182157764832,0.03322979064777176
63,0.033208467453718186,0.0332412126553344
64,0.033160757817327975,0.03328769378601871
65,0.03336111498872439,0.033330932794574726
66,0.03317162380367517,0.03356670157270546
67,0.0338221333026886,0.03384571418443576
68,0.03328049630423387,0.03336331347360256
69,0.033201325409114364,0.03366290791792438
70,0.033477086576322715,0.033943598188380615
71,0.0337228848785162,0.033690984499581314
72,0.03338441782941421,0.03332953562246675
73,0.03322411255290111,0.03361845995358964
74,0.03342211150129636,0.033160557841604696
75,0.03299144381284714,0.033157200176031035
76,0.03304436199118694,0.03303632025230438
77,0.0330540610452493,0.03412791252374015
78,0.033773876294493674,0.033022541334812944
79,0.032941347509622576,0.0330496721286723
80,0.033063300165037314,0.0329692704761599
81,0.032952369766930736,0.03298310069565443
82,0.03249237853040298,0.032553858638919415
83,0.03252279538909594,0.03300581551454169
84,0.03268937859435876,0.0332948288266012
85,0.03296228824804227,0.03286342824155346
86,0.032621027941505114,0.03275858318591689
87,0.032648979658881826,0.03301167249322889
88,0.03296866530676683,0.033093288758809264
89,0.033368631010254224,0.03308583049975494
90,0.0328975634748737,0.033663800095227805
91,0.03299317262818416,0.03302558641286289
92,0.032596067739029726,0.03267140893582651
93,0.03335288982590039,0.03354108464369114
94,0.03342210724453131,0.033411844514627406
95,0.033083324243625006,0.032934139561938476
96,0.032760098790129026,0.03286847653501528
97,0.03258024323234956,0.03255180043584489
98,0.03241241918007533,0.032671411194779135
99,0.03259572157015403,0.033112087970639165
100,0.03240904688835144,0.033068734280606533
101,0.03221718751390775,0.032816597131734834
102,0.032071398744980495,0.03231178669932675
103,0.03245546587059895,0.03293157015193967
104,0.0326973127151529,0.03267738074460562
105,0.032682673732439674,0.033097911318962246
106,0.03246356162180503,0.03261943919425632
107,0.032461293024321394,0.03239572661473079
108,0.03227022640655438,0.03253851958768482
109,0.032701250749329724,0.03298374512133763
110,0.032926350079476835,0.03312361688214414
111,0.03243288867423932,0.032354380440046175
112,0.032273544552425544,0.03250151554598136
113,0.032219478694101175,0.03250049820486853
114,0.03212511951476336,0.032435342362348706
115,0.032297841370105745,0.032607823947167144
116,0.032591622022291024,0.03281810914384241
117,0.03230156289786101,0.032265258526944736
118,0.032056680500507355,0.03228871167657223
119,0.03207006433854501,0.03252407015757041
120,0.03249496612946193,0.033152850493392415
121,0.03251435842365027,0.03273545538491391
122,0.03273084273437659,0.033007384040095705
123,0.032541446782648566,0.033000150338766424
124,0.03251037826637427,0.032191988348247526
125,0.031930740527808664,0.032333063615604916
126,0.03213099612047275,0.03214784647199385
127,0.03207765184342861,0.032582560286639216
128,0.03212723152836164,0.03272542910293696
129,0.032931808466712634,0.03277949044639443
130,0.03252573272089163,0.032451145747240555
131,0.031947898584107556,0.03281046519491901
132,0.03213866291443507,0.03223395025595389
133,0.03220878258844217,0.032611773210637116
134,0.032833544718722504,0.03303507061556299
135,0.032239234710733096,0.03232496497320368
136,0.03180497086793184,0.0324411966065143
137,0.03201633558173975,0.03319004563456203
138,0.0326567642763257,0.03316069427045419
139,0.03231618494540453,0.03287255660967624
140,0.03194630915671587,0.03244458407441035
141,0.032010785097877185,0.032028867347918925
142,0.03185110715279976,0.03225672079567263
143,0.03312792320549488,0.033998107755596335
144,0.032782512053847315,0.03297787754142538
145,0.033043706531325975,0.032963667907058555
146,0.033360168769955637,0.03293052320665819
147,0.033288323633372786,0.03340754436051592
148,0.03334771315505107,0.03283706675977149
149,0.03278546437372764,0.03291062591597438
150,0.03233018528670072,0.032461976899983404
151,0.03237157493084669,0.03290176298469305
152,0.03238890716433525,0.032575894781249636
153,0.03248430449515581,0.03244837327919742
154,0.03230162239074707,0.032444492725536546
155,0.03207505961755912,0.032173837406283365
156,0.03252215065062046,0.032921176314591724
157,0.03331292212506135,0.03477550022541843
158,0.03357440933585167,0.033157128602900404
159,0.03296610172092915,0.03319001167101112
160,0.03285793842871984,0.03274847673093702
161,0.03240431036055088,0.03240370478956623
