,t (time step),MMD,Confidence of Classifier,FID
0,0.0,4.104049,1.0055525e-11,125.37157021792177
1,0.05263157894736842,0.20873378,7.674968e-05,8.535519559613805
2,0.10526315789473684,0.18230598,0.0053403256,8.091808024066598
3,0.15789473684210525,0.19937511,0.99999416,8.623592654861366
4,0.21052631578947367,0.21895911,0.99682105,8.958608328180045
5,0.2631578947368421,0.21314318,0.9999982,9.048170574773264
6,0.3157894736842105,0.22735563,0.99999964,8.852158379845427
7,0.3684210526315789,0.2397571,0.99088657,9.632385354018048
8,0.42105263157894735,0.2137133,0.9997608,8.59309394334321
9,0.47368421052631576,0.22655767,0.001005842,9.50201056043234
10,0.5263157894736842,0.23874514,0.99948406,9.461409135351253
11,0.5789473684210527,0.24396504,0.99999785,9.56823880360097
12,0.631578947368421,0.23679653,0.999995,9.366130292618623
13,0.6842105263157894,0.2336574,0.9610767,9.022546626513105
14,0.7368421052631579,0.22785611,4.7321254e-08,9.19889930696581
15,0.7894736842105263,0.2294438,0.99999344,9.04412825725407
16,0.8421052631578947,0.24782684,0.9995946,9.51153305564996
17,0.894736842105263,0.2173685,0.9990971,8.758538752222744
18,0.9473684210526315,0.24176088,0.9995352,9.510446678948945
19,1.0,0.24009837,0.99996257,9.486297084535034
