,t (time step),MMD,Confidence of Classifier,FID
0,0.0,2.3531768,1.9636685e-11,115.8562751140293
1,0.05263157894736842,0.15674324,0.00020314244,6.798163275547134
2,0.10526315789473684,0.14441152,0.79428834,6.0948423412911135
3,0.15789473684210525,0.14680633,5.527487e-05,6.210732102512436
4,0.21052631578947367,0.13447265,0.9997714,5.9316239918407625
5,0.2631578947368421,0.13458624,0.99999917,5.8505477268235975
6,0.3157894736842105,0.13175401,8.807152e-05,5.787024354654907
7,0.3684210526315789,0.1456547,0.99998224,6.242708926565753
8,0.42105263157894735,0.13974296,0.9999815,6.059416752730434
9,0.47368421052631576,0.15049376,0.99999857,6.326614777673347
10,0.5263157894736842,0.13553475,0.37335896,5.736691170800188
11,0.5789473684210527,0.15005405,0.9999927,6.439007351099888
12,0.631578947368421,0.14716625,0.9998827,6.351617095337765
13,0.6842105263157894,0.15441309,0.9978783,6.340904898836916
14,0.7368421052631579,0.13855898,0.035297737,6.086942817421578
15,0.7894736842105263,0.14120872,0.9996126,5.803504942618588
16,0.8421052631578947,0.14360203,0.99993587,6.089915741399285
17,0.894736842105263,0.14759722,0.6353465,6.101481097472755
18,0.9473684210526315,0.14801654,0.9999958,5.843546418034737
19,1.0,0.14514777,0.23415074,6.004154410928834
