,Fraction of transport,MDD,Confidence of Classifier,FID
0,0.25,1.2132505,9.083298e-05,50.59631800626883
1,0.5,1.101481,0.005631309,28.74213689117427
2,0.75,0.43298095,0.18657604,11.013817935268289
3,1.0,0.009601651,0.9651294,0.47072481590683524
