,Fraction of transport,MDD,Confidence of Classifier,FID
0,0.25,1.3562385,2.5415514e-09,52.91100353641449
1,0.5,1.4451025,5.910651e-08,28.851089868414157
2,0.75,0.5239669,0.8280694,9.768300891850593
3,1.0,0.0047072493,0.99998724,0.31695474659052614
